Name of Institution,Affiliation Number,State,District,locality,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee,extra
ST.FRANCIS SCHOOL,1030472,MADHYA PRADESH,BETUL,GHORADONGARISARNI,"MOR DONGARI ROAD, SARNI,BETUL DISTT. M.P.",460447,"07146256901
                        ,","07146256901
                        ,",044-24724790,044-24724790,,sfssarni@yahoo.com,,2002,7/1/2002 12:00:00 AM,Sr. Sincitta,0,,,,,Secondary School,Provisional,1/4/2013,31/3/2018,FRANCISCAN CLARIST SOCIETY," ST.FRANCIS SCHOOL SARNI Affiliation Code:1030472 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:ST. FRANCIS SCHOOL , MOR DONGARI ROAD, SARNI,BETUL DISTT. M.P. Phone Num: STD Code: PhNo: 07146256901 , Fax: City: 460447 Email:sfssarni@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Bhanpura Public School Bhanpura,1030474,MADHYA PRADESH,MANDSAUR,Bhawani MandiBhanpura,"Bhanpura, Dak Banglow Colony, Bhanpura",458775,"07427-236617
                        ,","07427-236617
                        ,",331003,331003,07427-236611,bhanpurabps@gmail.com,,1997,8/26/1998 12:00:00 AM,Dr. Manish Saxena,1,"M.Sc., M.Ed., Ph.D.",,15,11,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",Bhanpura Public School sanchalan samiti,
DELHI MODEL PUBLIC SCHOOL,330374,BIHAR,BHOJPUR,KULHARIAKOILWAR,"KULHARIA, NEAR ABOUT KULHARIA BAZAAR, P.O. KULHARIA",802160,"09852973075
                        ,","09852973075
                        ,",,,,singh.jayshree30@gmail.com,,2009,1/20/2010 12:00:00 AM,ER. SUNDARAM KUMAR,0,,,,,Secondary School,Provisional,1/4/2015,31/3/2017,DELHI MODEL PUBLIC SCHOOL SOCIETY," DELHI MODEL PUBLIC SCHOOL Affiliation Code:330374 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:DELHI MODEL PUBLIC SCHOOL,KULHARIA,NEAR ABOUT KULHARIA BAZAAR, P.O. KULHARIA Phone Num: STD Code:06115 PhNo: 09852973075 , Fax: City: 802160 Email:singh.jayshree30@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
m.r.public high school,530836,HARYANA,SONEPAT,GohanaGohana,"gautam nagar, gohana",131301,"09255543278
                        ,","09255543278
                        ,",235095,235095,,mrpublicschool@rediffmail.com,,2001,4/1/2001 12:00:00 AM,raj phool kaushik,1,b.a. b.ed,,10,25,Secondary School,Provisional,1/4/2013,31/3/2018,kalawati educational and charitable society," M.R.Public High School Affiliation Code:530836 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:M.R Public High School,Gautam Nagar, Gohana Phone Num: STD Code: PhNo: 09255543278 , Fax: City: 131301 Email:mrpublicschool@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
LOTUS INTERNATIONAL SCHOOL,1030644,MADHYA PRADESH,DHAR,BADNAGARKANVAN,"KANVAN DISTRICT DHAR BADNAWAR,(M.P.)",454665,"07295-263471
                        ,","07295-263471
                        ,",,,07295-263471,lotusinternationalschool@gmail.com,http://www.lotusinternationalschool.in,2010,6/30/2010 12:00:00 AM,Mr.NANDKISHORE JAT,0,M.SC.B.ED,,04,07,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018",BANGRED WELFARE SHIKSHA VIKAS SAMITI," LOTUS INTERNATIONAL SCHOOL Affiliation Code:1030644 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:LOTUS INTERNATIONAL SCHOOL KANVAN DISTRICT DHAR (M.P.) Phone Num: STD Code: PhNo: 07295-263471 , Fax: City: 454665 Email:lotusinternationalschool@gmail.com, Website:http://www.lotusinternationalschool.in Courses of study offered: This school follows the CBSE curriculum"
S C R PUBLIC SCHOOL,530968,HARYANA,GURGAON,"GURGAON RAILWAY STATIONSECTOR-5. POLICE STATION, GURGAON","SHEETLA COLONY, PART-II, OPP. SECTOR-5, GURGAON",122001,"0124-2253187,6527516,6527517
                        ,","0124-2253187,6527516,6527517
                        ,",,,,kuldeepkataria25@gmail.com,,2004,1/15/2004 12:00:00 AM,SUJESH KUMAR KATARIA,0,"M.Sc., B.Ed",,6,8,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",SHRI CHANDI RAM EDUCATIONAL SOCIETY," S C R PUBLIC SCHOOL Affiliation Code:530968 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:S C R PUBLIC SCHOOL, SHEETLA COLONY, PART-II, OPP. SECTOR-5, GURGAON Phone Num: STD Code: PhNo: 0124-2253187,6527516,6527517 , Fax: City: 122001 Email:kuldeepkataria25@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
DR K.N.Modi Global School,2131105,uttar pradesh,GHAZIABAD,ModinagarModinagar Thana,"Hapur Road,
Near Eye Hospital, Modinagar, Ghaziabad",210204,"09897782249
                        ,","09897782249
                        ,",01396,01396,01141627931,knmfoundation@gmail.com,http://www.knmodoglobalschool.com,2007,7/8/2008 12:00:00 AM,Hitesh Puri,1,M.A. B.Ed,,6,7,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",Dr K.N.Modi Foundation," DR K.N.Modi Global School Affiliation Code:2131105 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Dr K.N.Modi Global school Hapur Road,Near Eye Hospital Phone Num: STD Code:0131 PhNo: 09897782249 , Fax:01396 City: 210204 Email:knmfoundation@gmail.com, Website:http://www.knmodoglobalschool.com Courses of study offered: This school follows the CBSE curriculum"
ROYAL PUBLIC SCHOOL,2131133,uttar pradesh,MUZAFFARNAGAR,Shamli Railway StationKotwali Shamli,"Shamli-Panipat Road, Shamli. Distt. Muzaffarnagar (UP)",247776,"01398250250
                        ,","01398250250
                        ,",222306,222306,01398250250,rajdeepsingh@gmail.com,,2008,4/1/2008 12:00:00 AM,Nirmala Devi,1,"M.A., B.Ed.",,5,26,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",Raj Krishna Educational Society," ROYAL PUBLIC SCHOOL Affiliation Code:2131133 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Royal Public School, Shamli-Panipat Road, Shamli. Distt. Muzaffarnagar (UP) Phone Num: STD Code: PhNo: 01398250250 , Fax: City: 247776 Email:rajdeepsingh@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"K C Gurukul Public School,",730049,JAMMU & KASHMIR,UDHAMPUR,UdhampurUdhampur,"Jakhar , Udhampur",185203,"01992-200405,01992-28018,94191-99133
                        ,","01992-200405,01992-28018,94191-99133
                        ,",550909,550909,0191-2548754,academic_dir_kcgps_jmu@yahoo.com,http://www.yahoo.com,2004,4/16/2004 12:00:00 AM,Tez Razdan,2,"B.Sc, B. Ed.",,8,22,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019",K C Gurukul," K C Gurukul Public School, Jakhar , Udhampur Affiliation Code:730049 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:K C Gurukul Public School, Jakhar , Udhampur Phone Num: STD Code: PhNo: 01992-200405,01992-28018,94191-99133 , Fax: City: 185203 Email:academic_dir_kcgps_jmu@yahoo.com, Website:http://www.yahoo.com Courses of study offered: This school follows the CBSE curriculum"
warren academy school,1730457,RAJASTHAN,JAIPUR,Gandhi NagarMahesh Nagar,"45-46, saini colony extension, kartarpura",302015,"01412501518, 2501384
                        ,","01412501518, 2501384
                        ,",01244070895,01244070895,01412500190,soganiamit@rediffmail.com,,1993,2/18/1993 12:00:00 AM,renu gupta,2,"b.sc., m.a., b.ed.",,5,9,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",warren shiksha sanstha," WARREN ACADEMY SCHOOL Affiliation Code:1730457 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:WARREN ACADEMY SCHOOL 45-46, SAINI COLONY EXTENSION, KARTARPURA Phone Num: STD Code: PhNo: 01412501518, 2501384 , Fax: City: 302015 Email:soganiamit@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
